district,tehsil,block,panchayat,old_age,widow,disability,total
Almora,Almora,DHAULADEVI,JAKHATEWARI,22,7,2,31
Almora,Almora,DHAULADEVI,JIGOLITOLI,1,9,,10
Almora,Almora,DHAULADEVI,KAPKOT,63,32,7,102
Almora,Almora,DHAULADEVI,KHOLA,,,,0
Almora,Almora,DHAULADEVI,MALADI,39,10,2,51
Almora,Almora,DHAULADEVI,MANIAGAR,42,16,6,64
Almora,Almora,DHAULADEVI,MANU,,,,0
Almora,Almora,DHAULADEVI,NAKOT,31,9,4,44
Almora,Almora,DHAULADEVI,NAUGAON,1,12,,13
Almora,Almora,DHAULADEVI,NAURA,30,13,2,45
Almora,Almora,DHAULADEVI,NAYALDHURA,1,3,,4
Almora,Almora,DHAULADEVI,PADAEE,,,,0
Almora,Almora,DHAULADEVI,SELA,4,7,2,13
Almora,Almora,DHAULADEVI,TOLI,6,1,,7
Almora,Almora,HAWALBAG,ATHARBANI,5,,1,6
Almora,Almora,HAWALBAG,BADGAL RAUTELA,28,6,4,38
Almora,Almora,HAWALBAG,BADGALBHATT,32,14,12,58
Almora,Almora,HAWALBAG,BADYUDA,30,10,6,46
Almora,Almora,HAWALBAG,BAJGAL,19,6,5,30
Almora,Almora,HAWALBAG,BALSA,15,13,7,35
Almora,Almora,HAWALBAG,BALTA,39,28,12,79
Almora,Almora,HAWALBAG,BANGSAR,23,6,1,30
Almora,Almora,HAWALBAG,BARSIMI,23,18,14,55
Almora,Almora,HAWALBAG,BARSIMI-I(LODHIYA),38,23,13,74
Almora,Almora,HAWALBAG,BASAR,52,16,17,85
Almora,Almora,HAWALBAG,BASGAON,42,7,10,59
Almora,Almora,HAWALBAG,BEH,10,14,6,30
Almora,Almora,HAWALBAG,BHANARAGAON,4,6,6,16
Almora,Almora,HAWALBAG,BHATNAYALJULA,25,13,5,43
Almora,Almora,HAWALBAG,BHULYUDA,21,14,6,41
Almora,Almora,HAWALBAG,BIMAULA,41,23,10,74
Almora,Almora,HAWALBAG,BINTOLA,22,16,10,48
Almora,Almora,HAWALBAG,BIRAUDA,24,8,10,42
Almora,Almora,HAWALBAG,CHAMPA,48,23,9,80
Almora,Almora,HAWALBAG,CHAN,33,15,4,52
Almora,Almora,HAWALBAG,CHAUNA,93,21,26,140
Almora,Almora,HAWALBAG,CHAUSALI,64,14,17,95
Almora,Almora,HAWALBAG,CHHANA,6,4,4,14
Almora,Almora,HAWALBAG,CHINONA,47,21,11,79
Almora,Almora,HAWALBAG,CHITAI,10,11,5,26
Almora,Almora,HAWALBAG,CHITAI PANT,20,12,3,35
Almora,Almora,HAWALBAG,DAL,34,18,9,61
Almora,Almora,HAWALBAG,DANGIKHOLA,44,18,13,75
Almora,Almora,HAWALBAG,DARIMKHOLA,11,11,1,23
Almora,Almora,HAWALBAG,DEVLI,28,21,13,62
Almora,Almora,HAWALBAG,DEVLIKHAN,30,20,19,69
Almora,Almora,HAWALBAG,DHAILI,49,12,9,70
Almora,Almora,HAWALBAG,DHAMAS,129,60,23,212
Almora,Almora,HAWALBAG,DHARI,75,27,11,113
Almora,Almora,HAWALBAG,DHATWALGAON,31,9,9,49
Almora,Almora,HAWALBAG,DOBA,37,18,6,61
Almora,Almora,HAWALBAG,DUGALKHOLA,10,8,6,24
Almora,Almora,HAWALBAG,FALSEEMA,54,30,19,103
Almora,Almora,HAWALBAG,GADHOLI,26,16,15,57
Almora,Almora,HAWALBAG,GADWALI,43,20,15,78
Almora,Almora,HAWALBAG,GALLIBASYUDA,72,29,13,114
Almora,Almora,HAWALBAG,GARGOONTH,4,10,3,17
Almora,Almora,HAWALBAG,GHANELI,43,13,14,70
Almora,Almora,HAWALBAG,GHURSAUN,21,8,2,31
Almora,Almora,HAWALBAG,GOLNAKARADIYA,28,24,12,64
Almora,Almora,HAWALBAG,GURNA,59,19,19,97
Almora,Almora,HAWALBAG,GWALKOT,12,19,,31
Almora,Almora,HAWALBAG,HAWALABAGH,19,26,9,54
Almora,Almora,HAWALBAG,HAWALBAG BLANK,6,6,1,13
Almora,Almora,HAWALBAG,JHASIYATANA,26,16,6,48
Almora,Almora,HAWALBAG,JYOLI,53,36,14,103
Almora,Almora,HAWALBAG,JYOLI SILANG,15,9,8,32
Almora,Almora,HAWALBAG,JYULA,5,9,1,15
Almora,Almora,HAWALBAG,JYURKAFUN,54,13,6,73
Almora,Almora,HAWALBAG,KAFALKOT,21,11,10,42
Almora,Almora,HAWALBAG,KANALBUNGA,29,17,6,52
Almora,Almora,HAWALBAG,KANELI,34,9,3,46
Almora,Almora,HAWALBAG,KASUN,22,16,10,48
Almora,Almora,HAWALBAG,KATARMAL,49,23,4,76
Almora,Almora,HAWALBAG,KAYALA,26,16,5,47
Almora,Almora,HAWALBAG,KESTA,28,10,7,45
Almora,Almora,HAWALBAG,KHAIKATTA,15,3,1,19
Almora,Almora,HAWALBAG,KHATYARI,82,59,44,185
Almora,Almora,HAWALBAG,KHAURI,36,14,2,52
Almora,Almora,HAWALBAG,KHUNT,45,15,16,76
Almora,Almora,HAWALBAG,KOTULI,30,6,13,49
Almora,Almora,HAWALBAG,KUJYADI,30,16,21,67
Almora,Almora,HAWALBAG,KURCHAUN,55,17,14,86
Almora,Almora,HAWALBAG,KUTGOLI,15,8,5,28
Almora,Almora,HAWALBAG,LAT,28,16,7,51
Almora,Almora,HAWALBAG,MAAL,76,34,29,139
Almora,Almora,HAWALBAG,MAAT,33,22,9,64
Almora,Almora,HAWALBAG,MACHOAD,1,2,,3
Almora,Almora,HAWALBAG,MAHATGAON,31,19,12,62
Almora,Almora,HAWALBAG,MAIGDI,9,10,2,21
Almora,Almora,HAWALBAG,MAINIPANCHGAON,15,12,5,32
Almora,Almora,HAWALBAG,MANAO,47,17,17,81
Almora,Almora,HAWALBAG,MATELA,42,31,17,90
Almora,Almora,HAWALBAG,MATELA (AGHAR),25,21,4,50
Almora,Almora,HAWALBAG,MATENA,41,23,4,68
Almora,Almora,HAWALBAG,MEHALA,3,7,2,12
Almora,Almora,HAWALBAG,NAINOLI,13,11,5,29
Almora,Almora,HAWALBAG,NAKOT,17,6,10,33
Almora,Almora,HAWALBAG,NAULA,82,25,24,131
Almora,Almora,HAWALBAG,ODLA,28,8,3,39
Almora,Almora,HAWALBAG,PAKHURA,27,20,9,56
Almora,Almora,HAWALBAG,PANDEKHOLA,13,9,6,28
Almora,Almora,HAWALBAG,PANKOT,17,9,5,31
Almora,Almora,HAWALBAG,PATHARKOT,22,9,9,40
Almora,Almora,HAWALBAG,PATHURA,48,19,5,72
Almora,Almora,HAWALBAG,PHARKA,5,5,2,12
Almora,Almora,HAWALBAG,PILKHA,31,26,10,67
Almora,Almora,HAWALBAG,PITHAUNI,28,7,4,39
Almora,Almora,HAWALBAG,POKHARI,17,10,6,33
Almora,Almora,HAWALBAG,QAIRALA,28,12,7,47
Almora,Almora,HAWALBAG,RAIKHOLI,,,,0
Almora,Almora,HAWALBAG,RAILAKOT,36,26,11,73
Almora,Almora,HAWALBAG,RAILAPALI,8,8,1,17
Almora,Almora,HAWALBAG,RAINGAL,32,14,7,53
Almora,Almora,HAWALBAG,RAMDA,35,10,7,52
Almora,Almora,HAWALBAG,RANKHILA,58,10,7,75
Almora,Almora,HAWALBAG,RAUN,22,23,14,59
Almora,Almora,HAWALBAG,RIKHE,20,10,6,36
Almora,Almora,HAWALBAG,SAIJ,22,3,9,34
Almora,Almora,HAWALBAG,SAINAR,20,16,8,44
Almora,Almora,HAWALBAG,SAKAR,8,9,4,21
Almora,Almora,HAWALBAG,SAKNIYAKOT,6,6,1,13
Almora,Almora,HAWALBAG,SALLA RAUTELA,27,10,4,41
Almora,Almora,HAWALBAG,SARKAR KI AALI,38,10,11,59
Almora,Almora,HAWALBAG,SARSAUN,35,16,5,56
Almora,Almora,HAWALBAG,SHAILGUNTH,26,13,5,44
Almora,Almora,HAWALBAG,SIDHAPUR,49,25,8,82
Almora,Almora,HAWALBAG,SIKUDA,16,9,5,30
Almora,Almora,HAWALBAG,SILANI,28,8,8,44
Almora,Almora,HAWALBAG,SIRAD,25,17,8,50
Almora,Almora,HAWALBAG,SYALIDHAR,45,40,15,100
Almora,Almora,HAWALBAG,SYUNA,22,10,9,41
Almora,Almora,HAWALBAG,SYUNARAKOT,11,6,1,18
Almora,Almora,HAWALBAG,SYURA,11,4,1,16
Almora,Almora,HAWALBAG,TALAD,15,14,9,38
Almora,Almora,HAWALBAG,TALADWARI,29,7,3,39
Almora,Almora,HAWALBAG,TATIK,11,8,4,23
Almora,Almora,HAWALBAG,THAPANIYA,17,17,5,39
Almora,Almora,HAWALBAG,UDYARI,23,13,4,40
Almora,Almora,HAWALBAG,USKONA,5,7,8,20
Almora,Almora,LAMGARA,AANULI,19,18,3,40
Almora,Almora,LAMGARA,AARAKHET,1,2,1,4
Almora,Almora,LAMGARA,ANARIYAKOT,37,26,6,69
Almora,Almora,LAMGARA,BACHKANDEY,1,8,,9
Almora,Almora,LAMGARA,BADIYAR RAIT,8,6,3,17
Almora,Almora,LAMGARA,BAGHAR,26,4,2,32
Almora,Almora,LAMGARA,BAIGNIYA,7,5,1,13
Almora,Almora,LAMGARA,BAJETHI,29,14,4,47
Almora,Almora,LAMGARA,BALIYA,2,2,1,5
Almora,Almora,LAMGARA,BALMA,28,14,5,47
Almora,Almora,LAMGARA,BARAKOT,3,11,3,17
Almora,Almora,LAMGARA,BHABU,2,6,,8
Almora,Almora,LAMGARA,BHAISODA,18,11,4,33
Almora,Almora,LAMGARA,BHATKHOLA,26,13,8,47
Almora,Almora,LAMGARA,BHATKOT,15,1,2,18
Almora,Almora,LAMGARA,BHTYURA TALLA,1,12,,13
Almora,Almora,LAMGARA,BINOLA MALLA,2,4,,6
Almora,Almora,LAMGARA,BINOLA TALLA,,,,0
Almora,Almora,LAMGARA,BISAUDKOT,12,1,1,14
Almora,Almora,LAMGARA,BUDHAN,11,10,3,24
Almora,Almora,LAMGARA,CHAUKUNA,,,,0
Almora,Almora,LAMGARA,CHAUMU,35,21,10,66
Almora,Almora,LAMGARA,CHIRATINMINA,3,1,,4
Almora,Almora,LAMGARA,DAMAR,1,6,,7
Almora,Almora,LAMGARA,DHAILI,59,26,11,96
Almora,Almora,LAMGARA,DHAURA,43,19,8,70
Almora,Almora,LAMGARA,DHURA SANGROLI,23,26,1,50
Almora,Almora,LAMGARA,DHYULI DHONI,6,1,,7
Almora,Almora,LAMGARA,DHYULI ROUTELA,12,2,2,16
Almora,Almora,LAMGARA,DOL,27,34,4,65
Almora,Almora,LAMGARA,DOTHA,3,5,2,10
Almora,Almora,LAMGARA,FATQUAL DUNGARA,5,12,7,24
Almora,Almora,LAMGARA,FUTA,12,5,1,18
Almora,Almora,LAMGARA,GAULI MAHAR,16,6,3,25
Almora,Almora,LAMGARA,GAUNA,27,14,12,53
Almora,Almora,LAMGARA,GUTHOULI,8,2,1,11
Almora,Almora,LAMGARA,JAKHATEWARI,,,,0
Almora,Almora,LAMGARA,JHALDUNGARA,17,13,,30
Almora,Almora,LAMGARA,JOSHIDHURA,28,17,2,47
Almora,Almora,LAMGARA,KALADUNGRA,3,3,,6
Almora,Almora,LAMGARA,KALSEEMA,14,9,7,30
Almora,Almora,LAMGARA,KALTANI,22,21,2,45
Almora,Almora,LAMGARA,KANDEY,3,11,,14
Almora,Almora,LAMGARA,KANRA,20,3,2,25
Almora,Almora,LAMGARA,KAPKOT,19,8,2,29
Almora,Almora,LAMGARA,KHANKAR,1,21,,22
Almora,Almora,LAMGARA,KHERDA,19,14,5,38
Almora,Almora,LAMGARA,KOKILAGAON,13,2,1,16
Almora,Almora,LAMGARA,KUMALSON,1,4,,5
Almora,Almora,LAMGARA,KUNJ,2,8,,10
Almora,Almora,LAMGARA,KUTAULI,2,9,,11
Almora,Almora,LAMGARA,LAMGARA BLANK,1,3,,4
Almora,Almora,LAMGARA,LAMKOAT,12,2,,14
Almora,Almora,LAMGARA,LOHANA,1,18,1,20
Almora,Almora,LAMGARA,MALADI,15,6,3,24
Almora,Almora,LAMGARA,MALLI CHOUNALI,28,18,2,48
Almora,Almora,LAMGARA,MERGOAN,13,13,,26
Almora,Almora,LAMGARA,MIROLI,3,2,,5
Almora,Almora,LAMGARA,NAIDI,10,10,2,22
Almora,Almora,LAMGARA,NATADOL,18,36,3,57
Almora,Almora,LAMGARA,NAURA,18,2,6,26
Almora,Almora,LAMGARA,NAYA SANGROLI,1,13,,14
Almora,Almora,LAMGARA,PALNA,26,28,2,56
Almora,Almora,LAMGARA,PITNA,4,12,,16
Almora,Almora,LAMGARA,QWETA,3,30,1,34
Almora,Almora,LAMGARA,RANAO,13,9,,22
Almora,Almora,LAMGARA,RATKHAN,25,15,,40
Almora,Almora,LAMGARA,SAINOLI,4,10,,14
Almora,Almora,LAMGARA,SANGARSAHU,16,26,4,46
Almora,Almora,LAMGARA,SATYU,33,8,5,46
Almora,Almora,LAMGARA,SELTA CHAPAR,,,,0
Almora,Almora,LAMGARA,SILKHODA,25,12,2,39
Almora,Almora,LAMGARA,SILPAD,1,7,,8
Almora,Almora,LAMGARA,SIMALTI,18,4,2,24
Almora,Almora,LAMGARA,SIRSAUDA,15,12,1,28
Almora,Almora,LAMGARA,SUNADI,5,7,1,13
Almora,Almora,LAMGARA,SURCHORA,1,9,2,12
Almora,Almora,LAMGARA,SURI,1,8,1,10
Almora,Almora,LAMGARA,SYUNANI,3,7,,10
Almora,Almora,LAMGARA,THANA MATHENA,24,15,6,45
Almora,Almora,LAMGARA,THATH,22,21,2,45
Almora,Almora,LAMGARA,TIKAR,4,7,1,12
Almora,Almora,LAMGARA,TOLI,43,30,2,75
Almora,Almora,LAMGARA,TULEDI,23,24,6,53
Almora,Almora,LAMGARA,TYUNARA,2,3,,5
Almora,Almora,LAMGARA,UJYAULA,45,15,12,72
Almora,Almora,LAMGARA,UNYUDA,19,18,,37
Almora,Almora,LAMGARA,WADYUDA,18,7,4,29
Almora,Almora,TAKULA,ADHURIYA,1,2,,3
Almora,Almora,TAKULA,AMKHOLI,14,2,2,18
Almora,Almora,TAKULA,BADGAON,1,1,1,3
Almora,Almora,TAKULA,BALE,,,,0
Almora,Almora,TAKULA,BASOLI,13,2,4,19
Almora,Almora,TAKULA,BAYALAKHALSA,2,2,,4
Almora,Almora,TAKULA,BHAISORI,20,2,2,24
Almora,Almora,TAKULA,BHAKUNA,42,8,2,52
Almora,Almora,TAKULA,BHANARATH,,,,0
Almora,Almora,TAKULA,BHATTGAON,16,4,,20
Almora,Almora,TAKULA,BHETULI,33,20,5,58
Almora,Almora,TAKULA,BINA,67,14,3,84
Almora,Almora,TAKULA,BUNGA,,,,0
Almora,Almora,TAKULA,CHURADI,9,4,4,17
Almora,Almora,TAKULA,DHAULARA,3,1,,4
Almora,Almora,TAKULA,DOTIYALGAON,49,13,4,66
Almora,Almora,TAKULA,ESALNA,26,5,5,36
Almora,Almora,TAKULA,GANGOLAKOTLI,20,15,2,37
Almora,Almora,TAKULA,HADAULI,32,16,3,51
Almora,Almora,TAKULA,JAKHASAUD,20,8,1,29
Almora,Almora,TAKULA,JALDHAULAR,,,,0
Almora,Almora,TAKULA,JHARKOT,15,7,3,25
Almora,Almora,TAKULA,JHIJHAD,21,3,1,25
Almora,Almora,TAKULA,KANDEY,67,7,1,75
Almora,Almora,TAKULA,KANTLI,,,,0
Almora,Almora,TAKULA,KHARAU,13,,4,17
Almora,Almora,TAKULA,KHIRAKOT,2,1,,3
Almora,Almora,TAKULA,KIRADA,14,2,2,18
Almora,Almora,TAKULA,KOTYUDA,48,28,8,84
Almora,Almora,TAKULA,LADYUDA,1,2,,3
Almora,Almora,TAKULA,LAKHANADI,2,,,2
Almora,Almora,TAKULA,LOD,3,1,1,5
Almora,Almora,TAKULA,LOHANA,27,10,5,42
Almora,Almora,TAKULA,MAJHERAMAFI,,,,0
Almora,Almora,TAKULA,MALAUNJ,2,,,2
Almora,Almora,TAKULA,MAVE,2,,,2
Almora,Almora,TAKULA,NAIDHOL,29,5,4,38
Almora,Almora,TAKULA,NIRAI,2,2,,4
Almora,Almora,TAKULA,PALYUDA,1,4,2,7
Almora,Almora,TAKULA,PANERGAON,35,15,3,53
Almora,Almora,TAKULA,PATIYA,71,14,6,91
Almora,Almora,TAKULA,POKHARI,19,2,1,22
Almora,Almora,TAKULA,SHAIL,2,2,1,5
Almora,Almora,TAKULA,SUNOLI,94,19,14,127
Almora,Almora,TAKULA,SUPAKOT,1,2,1,4
Almora,Almora,TAKULA,TAKULA BLANK,1,1,,2
Almora,Almora,TAKULA,TANA SAJOLI,,,,0
Almora,Almora,TAKULA,THAPALA,54,19,3,76
Almora,Almora,TAKULA,UTRAURA GHURDAURA,1,,,1
Almora,Bhanoli,DHAULADEVI,AARASALPAR,182,38,20,240
Almora,Bhanoli,DHAULADEVI,AATI,26,8,5,39
Almora,Bhanoli,DHAULADEVI,ANDOLI,100,24,3,127
Almora,Bhanoli,DHAULADEVI,ANOLI,46,15,6,67
Almora,Bhanoli,DHAULADEVI,ARCHALI,51,8,6,65
Almora,Bhanoli,DHAULADEVI,BAGHAR,1,,1,2
Almora,Bhanoli,DHAULADEVI,BAJELA,21,11,4,36
Almora,Bhanoli,DHAULADEVI,BALIKHET,37,13,5,55
Almora,Bhanoli,DHAULADEVI,BALSUNA,23,10,8,41
Almora,Bhanoli,DHAULADEVI,BAMANSWAL,40,11,4,55
Almora,Bhanoli,DHAULADEVI,BANTHOK,21,8,10,39
Almora,Bhanoli,DHAULADEVI,BARTOLI,39,5,5,49
Almora,Bhanoli,DHAULADEVI,BASAD,39,9,2,50
Almora,Bhanoli,DHAULADEVI,BASAULI,95,28,19,142
Almora,Bhanoli,DHAULADEVI,BEENA,32,11,3,46
Almora,Bhanoli,DHAULADEVI,BELAK,79,26,23,128
Almora,Bhanoli,DHAULADEVI,BHAGARTOLA,34,10,3,47
Almora,Bhanoli,DHAULADEVI,BHAISARI,67,20,8,95
Almora,Bhanoli,DHAULADEVI,BHAISIYACHHANA BLANK,,,,0
Almora,Bhanoli,DHAULADEVI,BHANOLI,155,33,14,202
Almora,Bhanoli,DHAULADEVI,BHETABADOLI,42,9,7,58
Almora,Bhanoli,DHAULADEVI,BIRKOLA,51,10,8,69
Almora,Bhanoli,DHAULADEVI,CHAGETHI,122,26,18,166
Almora,Bhanoli,DHAULADEVI,CHALTHI,112,27,7,146
Almora,Bhanoli,DHAULADEVI,CHAMI,112,20,15,147
Almora,Bhanoli,DHAULADEVI,CHAMTOLA,110,31,27,168
Almora,Bhanoli,DHAULADEVI,CHAMUWA KHALSA,64,7,9,80
Almora,Bhanoli,DHAULADEVI,CHAUNA,6,2,4,12
Almora,Bhanoli,DHAULADEVI,CHAUNDUNGRI,84,17,9,110
Almora,Bhanoli,DHAULADEVI,CHAURA,34,7,7,48
Almora,Bhanoli,DHAULADEVI,CHAUSALA,90,21,13,124
Almora,Bhanoli,DHAULADEVI,CHIL,122,14,8,144
Almora,Bhanoli,DHAULADEVI,CHITAULA,33,5,3,41
Almora,Bhanoli,DHAULADEVI,DANYA,114,40,17,171
Almora,Bhanoli,DHAULADEVI,DASEELI,74,19,12,105
Almora,Bhanoli,DHAULADEVI,DASHAULA WADIYAR,131,26,22,179
Almora,Bhanoli,DHAULADEVI,DAULIGAR,87,23,18,128
Almora,Bhanoli,DHAULADEVI,DHAR,27,6,8,41
Almora,Bhanoli,DHAULADEVI,DHAULADEVI BLANK,23,4,5,32
Almora,Bhanoli,DHAULADEVI,DHURA,95,14,13,122
Almora,Bhanoli,DHAULADEVI,DHURATANK,5,1,,6
Almora,Bhanoli,DHAULADEVI,DIYARKHOLI,55,17,10,82
Almora,Bhanoli,DHAULADEVI,DORAMPAPOLI,43,8,3,54
Almora,Bhanoli,DHAULADEVI,DUNAD,123,15,14,152
Almora,Bhanoli,DHAULADEVI,DUNGRA,141,42,19,202
Almora,Bhanoli,DHAULADEVI,DYOTALIGUNTH,45,3,3,51
Almora,Bhanoli,DHAULADEVI,FALTIYA,18,6,,24
Almora,Bhanoli,DHAULADEVI,FALYAT,50,28,11,89
Almora,Bhanoli,DHAULADEVI,FARAKHOLI,34,5,1,40
Almora,Bhanoli,DHAULADEVI,FULAI JAGESHWAR,54,26,8,88
Almora,Bhanoli,DHAULADEVI,GAIRAD MALLA,62,23,3,88
Almora,Bhanoli,DHAULADEVI,GAIRAR TALLA,31,6,11,48
Almora,Bhanoli,DHAULADEVI,GALLI,83,24,8,115
Almora,Bhanoli,DHAULADEVI,GAULI MAHAR,2,4,6,12
Almora,Bhanoli,DHAULADEVI,GHASPAD,46,2,4,52
Almora,Bhanoli,DHAULADEVI,GIRCHOLA,35,4,19,58
Almora,Bhanoli,DHAULADEVI,GOLI,79,11,12,102
Almora,Bhanoli,DHAULADEVI,GUNADITYA,35,4,5,44
Almora,Bhanoli,DHAULADEVI,GURUDA BANJ,84,43,22,149
Almora,Bhanoli,DHAULADEVI,JAJAR,29,6,6,41
Almora,Bhanoli,DHAULADEVI,JIGOLITOLI,89,14,13,116
Almora,Bhanoli,DHAULADEVI,KABHARI,70,6,10,86
Almora,Bhanoli,DHAULADEVI,KACHHIYAULA,56,15,3,74
Almora,Bhanoli,DHAULADEVI,KAFALI,98,34,11,143
Almora,Bhanoli,DHAULADEVI,KALAUTA,117,17,6,140
Almora,Bhanoli,DHAULADEVI,KANA,56,25,16,97
Almora,Bhanoli,DHAULADEVI,KAPKOT,1,1,7,9
Almora,Bhanoli,DHAULADEVI,KASERMANYA,85,21,42,148
Almora,Bhanoli,DHAULADEVI,KAULA,20,4,2,26
Almora,Bhanoli,DHAULADEVI,KHATIYOLA,,,,0
Almora,Bhanoli,DHAULADEVI,KHAURI,86,12,6,104
Almora,Bhanoli,DHAULADEVI,KHETI,98,22,10,130
Almora,Bhanoli,DHAULADEVI,KHOLA,91,26,17,134
Almora,Bhanoli,DHAULADEVI,KOL,32,14,9,55
Almora,Bhanoli,DHAULADEVI,KOTALIGUNTH,57,24,10,91
Almora,Bhanoli,DHAULADEVI,KUMAD,33,8,1,42
Almora,Bhanoli,DHAULADEVI,KUNJAGUNTH,18,6,4,28
Almora,Bhanoli,DHAULADEVI,LADHOLI,8,2,,10
Almora,Bhanoli,DHAULADEVI,LWETALADFORA,61,17,6,84
Almora,Bhanoli,DHAULADEVI,MADAM,78,10,7,95
Almora,Bhanoli,DHAULADEVI,MAHARGAON,51,17,5,73
Almora,Bhanoli,DHAULADEVI,MALAD,61,6,13,80
Almora,Bhanoli,DHAULADEVI,MALADI,2,2,1,5
